Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
2992,GMC,107750,Gasoline,Automatic,Black,Black,None reported,Yes,35500,8,420.0,6.2,8.0
2889,BMW,81000,Gasoline,Manual,White,Red,None reported,Yes,27890,9,320.0,3.0,6.0
824,Mazda,27836,Gasoline,Automatic,Grey,Red,None reported,Yes,36969,3,,2.5,
3701,Ford,228000,Gasoline,Automatic,Red,Other,Accident reported,Yes,3850,17,292.0,4.6,8.0
1389,Maserati,1087,Gasoline,Automatic,White,Black,None reported,Yes,279000,2,,3.0,
3278,Mercedes-Benz,80081,Gasoline,Automatic,White,Other,None reported,Yes,12500,21,302.0,5.0,8.0
3083,Jeep,59692,Gasoline,Automatic,Grey,Black,None reported,Yes,35900,5,285.0,3.6,6.0
1607,INFINITI,71000,Gasoline,Automatic,Black,Black,None reported,Yes,21500,8,265.0,3.5,6.0
1594,Maserati,12118,Gasoline,Automatic,Blue,Brown,None reported,Yes,52900,4,424.0,3.0,6.0
771,Hyundai,25000,Gasoline,Automatic,Black,Grey,None reported,Yes,28500,3,191.0,2.5,4.0
2273,Chevrolet,139000,Gasoline,Automatic,White,Black,None reported,Yes,4200,15,169.0,2.4,4.0
1868,Nissan,96600,Gasoline,Automatic,Other,Black,Accident reported,Yes,17000,12,261.0,4.0,6.0
1085,Jeep,106700,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,13500,11,290.0,3.6,6.0
3740,Audi,96800,Gasoline,Automatic,Grey,Black,Accident reported,Yes,11000,11,211.0,2.0,4.0
1325,Jeep,85325,Gasoline,Automatic,Black,Black,None reported,Yes,30000,8,285.0,3.6,6.0
1463,BMW,125470,Gasoline,Automatic,Black,Other,None reported,Yes,8000,16,360.0,4.8,8.0
806,Mercedes-Benz,171000,Gasoline,Automatic,Black,Black,Accident reported,Yes,4750,15,268.0,3.5,6.0
2458,Land,50340,Gasoline,Automatic,White,Other,Accident reported,Yes,47000,7,380.0,3.0,6.0
2802,BMW,23195,Gasoline,Automatic,Other,Black,None reported,,38900,4,,2.0,
2108,INFINITI,141775,Gasoline,Unknown,White,Other,None reported,Yes,11500,12,400.0,5.6,8.0
2834,GMC,96000,Gasoline,Automatic,Grey,Black,None reported,Yes,34000,7,355.0,5.3,8.0
3937,Mercedes-Benz,80300,Gasoline,Automatic,Black,Black,Accident reported,Yes,22000,9,355.0,2.0,4.0
2234,Audi,98400,Gasoline,Automatic,White,White,None reported,Yes,18000,12,333.0,3.0,6.0
963,GMC,49105,Gasoline,Automatic,White,Black,None reported,Yes,39750,7,420.0,6.2,8.0
398,BMW,57550,Gasoline,Manual,Black,White,None reported,Yes,29995,9,240.0,2.0,4.0
3755,FIAT,48500,Gasoline,Automatic,Yellow,Brown,None reported,Yes,15999,8,180.0,2.4,4.0
704,FIAT,45000,Gasoline,Manual,Grey,Black,Accident reported,Yes,22500,7,164.0,1.4,4.0
431,Mercedes-Benz,41545,Hybrid,Automatic,White,Black,None reported,,71998,2,,,
292,Lincoln,49814,Gasoline,Automatic,Red,Other,None reported,,26545,5,,2.0,
3784,Cadillac,35566,Gasoline,Automatic,White,Other,Accident reported,Yes,26000,5,265.0,2.0,4.0
145,BMW,86000,Gasoline,Unknown,Blue,White,None reported,Yes,32000,11,560.0,4.4,8.0
2728,Mercedes-Benz,130000,Gasoline,Automatic,Blue,Black,None reported,Yes,24500,9,429.0,4.7,8.0
